SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName
PM-0014-0000818,Storm,Storm,Storm 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880079,120,Tafisa
EB-0014-0000048,Storm,Storm,Storm 1mm,2,0.039,EB,0.38,0.38,LF,1037,880079,120,Tafisa
PM-0014-0000821,Pumice,Pumice,Pumice 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880080,120,Tafisa
PM-0014-0000820,Pumice,Pumice,Pumice 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880080,120,Tafisa
EB-0014-0000049,Pumice,Pumice,Pumice 1mm,2,0.039,EB,0.38,0.38,LF,1037,880080,120,Tafisa
PM-0014-0000823,Black,Black,Black 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880081,120,Tafisa
PM-0014-0000822,Black,Black,Black 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880081,120,Tafisa
EB-0014-0000050,Black,Black,Black 1mm,2,0.039,EB,0.38,0.38,LF,1037,880081,120,Tafisa
PM-0014-0000825,White Gloss,White Gloss,White Gloss 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880082,120,Tafisa
PM-0014-0000824,White Gloss,White Gloss,White Gloss 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880082,120,Tafisa
EB-0014-0000051,White Gloss,White Gloss,White Gloss 1mm,2,0.039,EB,0.38,0.38,LF,1037,880082,120,Tafisa
PM-0014-0000827,Custom Solid,Custom Solid,Custom Solid 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880083,120,Tafisa
PM-0014-0000826,Custom Solid,Custom Solid,Custom Solid 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880083,120,Tafisa
EB-0014-0000052,Custom Solid,Custom Solid,Custom Solid 1mm,2,0.039,EB,0.38,0.38,LF,1037,880083,120,Tafisa
PM-0014-0000829,Candlelight,Candlelight,Candlelight 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880084,120,Tafisa
PM-0014-0000828,Candlelight,Candlelight,Candlelight 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880084,120,Tafisa
