Description,SKU,Name,DisplayName,FranchisePrice,RetailPrice,UOM,ProductType,VendorName,VendorItemNum,Type,Thickness,TypeCode,ColorCode,ProfileCode
"Synergy Tie Matt Alum 14""",AC-0000156,"Synergy Tie Matt Alum 14""",Synergy Tie Matt Alum 14in,19.393,66.906,EA,AC,HAFELE,807.54.933,4,1,0,0,0
"Synergy Tie White 14""",AC-0000158,"Synergy Tie White 14""",Synergy Tie White 14in,15.455,53.32,EA,AC,HAFELE,807.54.773,4,1,0,0,0
"Synergy Belt White 14""",AC-0000159,"Synergy Belt White 14""",Synergy Belt White 14in,15.455,53.32,EA,AC,HAFELE,807.54.771,4,1,0,0,0
Synergy Rnd Rod ORB 8ft,AC-0000160,Synergy Rnd Rod ORB 8ft,Synergy Rnd Rod ORB 8ft,3.24,11.176,LF,AC,HAFELE,801.42.100,4,1,0,0,0
Synergy Rnd Rod Matt Alum 8ft,AC-0000161,Synergy Rnd Rod Matt Alum 8ft,Synergy Rnd Rod Matt Alum 8ft,3.128,10.793,LF,AC,HAFELE,801.42.900,4,1,0,0,0
Synergy Rnd Rod Matt Ni 8ft,AC-0000163,Synergy Rnd Rod Matt Ni 8ft,Synergy Rnd Rod Matt Ni 8ft,2.842,9.806,LF,AC,HAFELE,801.42.600,4,1,0,0,0
Synergy Rnd Rod Pol Chrome 8ft,AC-0000165,Synergy Rnd Rod Pol Chrome 8ft,Synergy Rnd Rod Pol Chrome 8ft,2.908,10.034,LF,AC,HAFELE,801.42.200,4,1,0,0,0
Synergy Rnd Pole Cup ORB,AC-0000166,Synergy Rnd Pole Cup ORB,Synergy Rnd Pole Cup ORB,3.773,13.017,PR,AC,HAFELE,803.56.100,4,1,0,0,0
Synergy Rnd Pole Cup Matt Alum,AC-0000167,Synergy Rnd Pole Cup Matt Alum,Synergy Rnd Pole Cup Matt Alum,3.278,11.309,PR,AC,HAFELE,803.56.900,4,1,0,0,0
Synergy Rnd Pole Cup Matt Ni,AC-0000169,Synergy Rnd Pole Cup Matt Ni,Synergy Rnd Pole Cup Matt Ni,3.278,11.309,PR,AC,HAFELE,803.56.600,4,1,0,0,0
